awarding_office,fain,award_num,org_type,recip_name_standardized,recipient_name,RecipientState,RecipientCountry,date_terminated,amt_obligated,amt_expended,total_payment_amt,amt_unliquidated,award_title,pres_action,for_cause,for_cause_num
"NIH","R42MD014075","3R42MD014075-04S1","For-Profit/Commercial","EQUITI FOODS, LLC","EQUITI FOODS, LLC","NORTH CAROLINA","UNITED STATES",28mar2025,1284140,1229020,1229020,55120,"GOOD BOWLS: EMPOWERING COMMUNITIES TO ACHIEVE GOOD FOOD ACCESS AND HEALTH EQUITY","N/A - Departmental Authority","-",0
"NIH","R44AG045011","5R44AG045011-05","For-Profit/Commercial","FUNCTION PROMOTING THERAPIES, LLC","FUNCTION PROMOTING THERAPIES, LLC","MASSACHUSETTS","UNITED STATES",21mar2025,1957589,1517044.78,1517044.78,440544.22,"PHASE IIB: DEVELOPMENT OF TRUT ALGORITHM FOR COMMERCIALIZATION IN ANDROGEN DISORDERS","N/A - Departmental Authority","-",0
"NIH","R61HD117134","1R61HD117134-01","For-Profit/Commercial","HARVARD PILGRIM HEALTH CARE, INC.","HARVARD PILGRIM HEALTH CARE, INC.","MASSACHUSETTS","UNITED STATES",12mar2025,838837,117448.86,117448.86,721388.14,"SUPPORTIVE AND RESTRICTIVE FACTORS AND MENTAL HEALTH IN LGBT ADOLESCENT AND YOUNG ADULT POPULATIONS","N/A - Departmental Authority","-",0
"NIH","R01AI174862","5R01AI174862-03","For-Profit/Commercial","HARVARD PILGRIM HEALTH CARE, INC.","HARVARD PILGRIM HEALTH CARE, INC.","MASSACHUSETTS","UNITED STATES",20mar2025,2500504,1433186.48,1433186.48,1067317.52,"CABOTEGRAVIR PREP: ACTIONABLE ROBUST EVIDENCE FOR TRANSLATION INTO PRACTICE (CABARET)","N/A - Departmental Authority","-",0
"NIH","R21MH136855","1R21MH136855-01","For-Profit/Commercial","HARVARD PILGRIM HEALTH CARE, INC.","HARVARD PILGRIM HEALTH CARE, INC.","MASSACHUSETTS","UNITED STATES",21mar2025,277552,57424.12,57424.12,220127.88,"OVER-THE-COUNTER PREP: ACCEPTABILITY FEASIBILITY AND POTENTIAL IMPACT OF ACCESS WITHOUT A PRESCRIPTION (OFFSCRIPT)","N/A - Departmental Authority","-",0
"NIH","R01MD015256","5R01MD015256-05","For-Profit/Commercial","HARVARD PILGRIM HEALTH CARE, INC.","HARVARD PILGRIM HEALTH CARE, INC.","MASSACHUSETTS","UNITED STATES",21mar2025,3967505,3007645.79,3007645.79,959859.21,"SEXUAL ORIENTATION-RELATED DISPARITIES IN OBSTETRICAL AND PERINATAL HEALTH","N/A - Departmental Authority","-",0
"NIH","R21DA058575","7R21DA058575-02","For-Profit/Commercial","HARVARD PILGRIM HEALTH CARE, INC.","HARVARD PILGRIM HEALTH CARE, INC.","CALIFORNIA","UNITED STATES",21mar2025,403450,203949.28,203949.28,199500.72,"TAILORING DELIVERY OF LONGACTING PREP FOR CISGENDER (MSM) WHO USE METHAMPHETAMINE","N/A - Departmental Authority","-",0
"CDC","U54CK000611","21U54CK000611","For-Profit/Commercial","HARVARD PILGRIM HEALTH CARE, INC.","HARVARD PILGRIM HEALTH CARE INC","MASSACHUSETTS","UNITED STATES",20may2025,2700749,1945452.99,1945452.99,755296.01,"PREVENTION EPICENTERS PROGRAM: PROTECTING PATIENTS FROM INFECTIONS, ANTIBIOTIC RESISTANCE AND OTHER ADVERSE EVENTS","N/A - Termination for Cause","X",1
"CDC","U54CK000611","21U54CK000611C6","For-Profit/Commercial","HARVARD PILGRIM HEALTH CARE, INC.","HARVARD PILGRIM HEALTH CARE INC","MASSACHUSETTS","UNITED STATES",20may2025,2862271,2655102.21,2655102.21,207168.79,"PREVENTION EPICENTERS PROGRAM: PROTECTING PATIENTS FROM INFECTIONS, ANTIBIOTIC RESISTANCE AND OTHER ADVERSE EVENTS","N/A - Termination for Cause","X",1
"CDC","U54CK000611","21U54CK000611SUPPL","For-Profit/Commercial","HARVARD PILGRIM HEALTH CARE, INC.","HARVARD PILGRIM HEALTH CARE INC","MASSACHUSETTS","UNITED STATES",20may2025,244444,159878.46,159878.46,84565.53999999999,"PREVENTION EPICENTERS PROGRAM: PROTECTING PATIENTS FROM INFECTIONS, ANTIBIOTIC RESISTANCE AND OTHER ADVERSE EVENTS","N/A - Termination for Cause","X",1
"NIH","R44HD106855","1R44HD106855-01A1","For-Profit/Commercial","IRIS MEDIA, INC.","IRIS MEDIA, INC.","OREGON","UNITED STATES",21mar2025,283526,181188.14,181188.14,102337.86,"EVIDENCE-BASED PARENT TRAINING FOR DIVERSE FAMILIES (PTDF)","N/A - Departmental Authority","-",0
"NIH","R44MD017106","5R44MD017106-04","For-Profit/Commercial","ISA ASSOCIATES, INC.","ISA ASSOCIATES, INC.","VIRGINIA","UNITED STATES",05may2025,1750751,541833,541833,1208918,"REDUCING HYPERTENSION AMONG AFRICAN AMERICAN MEN: A MOBILE STRESS MANAGEMENT INTERVENTION TO ADDRESS HEALTH DISPARITIES","N/A - Departmental Authority","-",0
"NIH","R24NS132283","1R24NS132283-01","For-Profit/Commercial","NEUROVATIONS","NEUROVATIONS","CALIFORNIA","UNITED STATES",21mar2025,7732800,3426978.38,3426978.38,4305821.62,"PURPOSE: POSITIVELY UNITING RESEARCHERS OF PAIN TO OPINE SYNTHESIZE AND ENGAGE","N/A - Departmental Authority","-",0
"NIH","R41MD019548","1R41MD019548-01","For-Profit/Commercial","OLIPHA INC","OLIPHA INC","DELAWARE","UNITED STATES",12mar2025,293629,293629,293629,,"A BIOBASED BIODEGRADABLE SUNSCREEN THAT IS SAFE, REMOVES ENVIRONMENTAL IMPACT, IS INCLUSIVE OF ALL SKIN TONES, AND IS FOR THE PURPOSE OF ELIMINATING DISPARITIES IN MELANOMA MORTALITY RATES","N/A - Departmental Authority","-",0
"NIH","R43MD019197","1R43MD019197-01","For-Profit/Commercial","PRO-CHANGE BEHAVIOR SYSTEMS, INC.","PRO-CHANGE BEHAVIOR SYSTEMS, INC.","RHODE ISLAND","UNITED STATES",21mar2025,324381,242017.75,242017.75,82363.25,"BRIDGES: A DIGITAL INTERVENTION TO INCREASE WORKPLACE BELONGING","N/A - Departmental Authority","-",0
"NIH","R44HD103517","5R44HD103517-03","For-Profit/Commercial","RESILIENT GAMES STUDIO, LLC","RESILIENT GAMES STUDIO, LLC","ILLINOIS","UNITED STATES",21mar2025,1698266,1698266,1698266,,"STEP UP FOR STEM AND HEALTH CAREERS: AN INTERVENTION TO REDUCE STEM-RELATED BIASES AND IMPROVE HIGH SCHOOL STEM LEARNING ENVIRONMENTS","N/A - Departmental Authority","-",0
"NIH","R44AG080843","5R44AG080843-02","For-Profit/Commercial","SILVERBILLS INC.","SILVERBILLS INC.","NEW YORK","UNITED STATES",28feb2025,2521043,2439209.91,2439209.91,81833.09,"SILVERBILLS: A LEGAL, TECHNICAL AND FINANCIAL TOOL FOR AGING LGBTQ+ INDIVIDUALS WITH IMPAIRED COGNITION","N/A - Departmental Authority","-",0
"CDC","NU2GGH002485","23NU2GGH002485C3","Foreign Government/International","CENTER FOR INFECTIOUS DISEASE RESEARCH IN ZAMBIA","CTR FOR INFECTIOUS DISEASE RESCH IN ZAMBIA","N/A","ZAMBIA",24mar2025,150000,41088,41088,108912,"TRANSITIONING AND INTEGRATING LABORATORY SERVICES FOR HIGH QUALITY HIV DIAGNOSIS, CARE, TREATMENT, AND MONITORING TO THE MINISTRY OF HEALTH (MOH) TO SUSTAIN ACHIEVEMENT OF THE 95-95-95 GOALS IN ZAMBIA UNDER PEPFAR - 2023","N/A - Departmental Authority","-",0
"NIH","R21EB030851","5R21EB030851-03","Foreign Government/International","CENTRE FOR ADDICTION AND MENTAL HEALTH","CENTRE FOR ADDICTION AND MENTAL HEALTH","N/A","CANADA",03mar2025,287669,266221.42,266221.42,21447.58,"PERSONALIZED 3D AVATAR TOOL DEVELOPMENT FOR MEASUREMENT OF BODY PERCEPTION ACROSS GENDER IDENTITIES","N/A - Departmental Authority","-",0
"NIH","R01MH121520","3R01MH121520-04S1","Foreign Government/International","CENTRE FOR ADDICTION AND MENTAL HEALTH","CENTRE FOR ADDICTION AND MENTAL HEALTH","N/A","CANADA",24apr2025,1924773,1755946,1755946,168827,"NEURAL MECHANISMS OF PERCEPTUAL ABNORMALITIES AND THEIR MALLEABILITY IN BODYDYSMORPHIC DISORDER","N/A - Departmental Authority","-",0
"CDC","NU2HGH000050","20NU2HGH000050C3","Foreign Government/International","GENERAL DEPARTMENT OF PREVENTIVE MEDICINE, MINISTRY OF HEALTH OF VIETNAM","GENERAL DEPT OF PREVENTIVE MEDICINE, MINISTRY OF HEALTH","N/A","VIETNAM",24mar2025,114000,2000,2000,112000,"ENHANCING GLOBAL HEALTH SECURITY AND SUPPORTING VIETNAM IN ACHIEVING COMPLIANCE WITH INTERNATIONAL HEALTH REGULATIONS, 2020-2024","N/A - Departmental Authority","-",0
"CDC","NU2GGH002302","20NU2GGH00230221C3","Foreign Government/International","HUMAN SCIENCES RESEARCH COUNCIL","HUMAN SCIENCES RESEARCH COUNCIL","N/A","SOUTH AFRICA",24mar2025,1200000,907110.29,907110.29,292889.71,"SUPPORT THE STRENGTHENING AND UTILIZATION OF STRATEGIC INFORMATION ACTIVITIES IN THE REPUBLIC OF SOUTH AFRICA UNDER THE PRESIDENT'S EMERGENCY PLAN FOR AIDS RELIEF (PEPFAR)","N/A - Departmental Authority","-",0
"NIH","R01MH130208","5R01MH130208-02","Foreign Government/International","INFECTIOUS DISEASES INSTITUTE LIMITED","INFECTIOUS DISEASES INSTITUTE","N/A","UGANDA",21mar2025,998358,611381.59,611381.59,386976.41,"CHOICE-BASED PREP DELIVERY FOR TRANSGENDER PEOPLE IN UGANDA","N/A - Departmental Authority","-",0
"CDC","U01GH002248","19U01GH00224820CV","Foreign Government/International","INFECTIOUS DISEASES INSTITUTE LIMITED","THE INFECTIOUS DISEASES INSTITUTE LIMITED","N/A","UGANDA",24mar2025,930000,800487.4300000001,800487.4300000001,129512.57,"ADVANCING INFECTIOUS DISEASE DETECTION AND RESPONSE IN UGANDA","N/A - Departmental Authority","-",0
"CDC","U01GH002291","20U01GH002291C3","Foreign Government/International","INSTITUTO NACIONAL DE SALUD (COLOMBIA)","INSTITUTO NACIONAL DE SALUD","N/A","COLOMBIA",24mar2025,1313000,1186484.96,1186484.96,126515.04,"CONDUCTING PUBLIC HEALTH RESEARCH IN COLOMBIA","N/A - Departmental Authority","-",0
"CDC","U01GH002259","19U01GH002259C3","Foreign Government/International","INTERNATIONAL CENTER FOR DIARRHOEAL DISEASE RESEARCH","INTERNATIONAL CENTER FOR DIARRHOEAL DISEASE RESEARCH","N/A","BANGLADESH",24mar2025,770000,611776,611776,158224,"ADVANCING PUBLIC HEALTH RESEARCH IN BANGLADESH","N/A - Departmental Authority","-",0
"CDC","NU2HGH000060","20NU2HGH000060CV","Foreign Government/International","INTERNATIONAL CENTER FOR DIARRHOEAL DISEASE RESEARCH","INTERNATIONAL CENTER FOR DIARRHOEAL DISEASE RESEARCH","N/A","BANGLADESH",24mar2025,1750000,1574072,1574072,175928,"ENHANCING GLOBAL HEALTH SECURITY: EXPANDING EFFORTS AND STRATEGIES TO PROTECT AND IMPROVE PUBLIC HEALTH GLOBALLY","N/A - Departmental Authority","-",0
"CDC","NU2GGH002390","21NU2GGH002390","Foreign Government/International","INTERNATIONAL CENTER FOR DIARRHOEAL DISEASE RESEARCH","INTERNATIONAL CENTRE FOR DIARRHOEAL DISEASE RESEARCH, BANGLADESH","N/A","BANGLADESH",10jun2025,750000,700277.0600000001,700277.0600000001,49722.94,"ELIMINATION OF LYMPHATIC FILARIASIS AND ELIMINATION AND CONTROL OF OTHER NEGLECTED TROPICAL DISEASES (NTDS) IN AN EFFORT TO IMPROVE THE QUALITY AND COVERAGE OF LOCAL PROGRAMS.","EO 14169 - REEVALUATING AND REALIGNING UNITED STATES FOREIGN AID","-",0
"CDC","NU2HGH000061","20NU2HGH000061CV","Foreign Government/International","KEMENTERIAN KESEHATAN RI","RPL 140 PDHL SETDJP2P UNTUK 2CWS8XCA","N/A","INDONESIA",24mar2025,1100000,297400,297400,802600,"BUILDING AND STRENGTHENING PUBLIC HEALTH SYSTEMS, IMPACT, AND CAPACITY IN INDONESIA THROUGH COLLABORATION WITH THE MINISTRY OF HEALTH","N/A - Departmental Authority","-",0
"CDC","U01GH002272","20U01GH002272C3","Foreign Government/International","L.SAKVARELIDZE NATL CTR FOR DISEASE CNTRL & PUBLIC HLTH","L.SAKVARELIDZE NATL CTR FOR DISEASE CNTRL & PUBLIC HLTH","N/A","GEORGIA",24mar2025,200000,69820,69820,130180,"CONDUCTING PUBLIC HEALTH RESEARCH IN GEORGIA","N/A - Departmental Authority","-",0
"CDC","NU2GGH002436","22NU2GGH00243624C3","Foreign Government/International","NATIONAL HEALTH LABORATORY SERVICE (SOUTH AFRICA)","NATIONAL HEALTH LABORATORY SERVICE","N/A","SOUTH AFRICA",24mar2025,203972,,,203972,"STRENGTHENING HEALTH SURVEILLANCE SYSTEMS, LABORATORY CAPACITY, PUBLIC HEALTH WORKFORCE, AND GLOBAL HEALTH SECURITY IN SOUTH AFRICA UNDER THE PRESIDENT'S EMERGENCY PLAN FOR AIDS RELIEF (PEPFAR) - 2022","N/A - Departmental Authority","-",0
"CDC","NU51IP000948","22NU51IP000948C3","Foreign Government/International","NATIONAL HEALTH LABORATORY SERVICE (SOUTH AFRICA)","NATIONAL HEALTH LABORATORY SERVICE","N/A","SOUTH AFRICA",24mar2025,175000,47256.68,47256.68,127743.32,"SURVEILLANCE AND RESPONSE TO AVIAN AND PANDEMIC INFLUENZA BY NATIONAL HEALTH AUTHORITIES OUTSIDE THE UNITED STATES","N/A - Departmental Authority","-",0
"NIH","R01AG063954","5R01AG063954-05","Hospital / Medical Center / Health System","BANNER HEALTH","BANNER HEALTH","ARIZONA","UNITED STATES",21mar2025,9569272,8377745.17,8377745.17,1191526.83,"ESTABLISHING THE SCIENCE BEHIND ALZHEIMER'S RECRUITMENT REGISTRIES: OPPORTUNITIES FOR INCREASING DIVERSITY AND ACCELERATING ENROLLMENT INTO TRIALS","N/A - Departmental Authority","-",0
"NIH","R56CA284564","1R56CA284564-01","Hospital / Medical Center / Health System","BETH ISRAEL DEACONESS MEDICAL CENTER","BETH ISRAEL DEACONESS MEDICAL CENTER","MASSACHUSETTS","UNITED STATES",12mar2025,299940,286927.92,286927.92,13012.08,"GENDER-AFFIRMING TESTOSTERONE THERAPY ON BREAST CANCER RISK AND TREATMENT OUTCOMES","N/A - Departmental Authority","-",0
"NIH","R01AI178875","5R01AI178875-02","Hospital / Medical Center / Health System","BETH ISRAEL DEACONESS MEDICAL CENTER","BETH ISRAEL DEACONESS MEDICAL CENTER","MASSACHUSETTS","UNITED STATES",17apr2025,950647,660427,660427,290220,"SUSCEPTIBILITY AND RESISTANCE OF MULTIDRUG-RESISTANT GRAM-NEGATIVE BACTERIA TO NOVEL BETA-LACTAM/BETA- LACTAMASE INHIBITOR COMBINATIONS","N/A - Departmental Authority","-",0
"NIH","DP1DK126160","3DP1DK126160-04S1","Hospital / Medical Center / Health System","BETH ISRAEL DEACONESS MEDICAL CENTER","BETH ISRAEL DEACONESS MEDICAL CENTER","MASSACHUSETTS","UNITED STATES",29apr2025,3513339,3430205,3430205,83134,"MITOCHONDRIAL METABOLITE COMPARTMENTALIZATION IN HEALTH AND DISEASE","N/A - Departmental Authority","-",0
"NIH","U01MH136558","5U01MH136558-03","Hospital / Medical Center / Health System","BOSTON CHILDREN'S HOSPITAL","BOSTON CHILDREN'S HOSPITAL","MASSACHUSETTS","UNITED STATES",28feb2025,5955310,4471657.15,4471657.15,1483652.85,"TRANSHEALTHGUIDE: TRANSFORMING HEALTH FOR GENDER- DIVERSE YOUNG ADULTS USING INTERVENTIONS TO DRIVE EQUITY","N/A - Departmental Authority","-",0
"NIH","R35GM146974","5R35GM146974-03","Hospital / Medical Center / Health System","BOSTON CHILDREN'S HOSPITAL","BOSTON CHILDREN'S HOSPITAL","MASSACHUSETTS","UNITED STATES",10mar2025,1327011,857993,857993,469018,"DIGITAL DATA STREAMS AND MACHINE LEARNING FOR REAL-TIME MODELING OF VACCINE-PREVENTABLE INFECTIOUS DISEASES","N/A - Departmental Authority","-",0
"NIH","R01HD101421","5R01HD101421-05","Hospital / Medical Center / Health System","BOSTON CHILDREN'S HOSPITAL","BOSTON CHILDREN'S HOSPITAL","MASSACHUSETTS","UNITED STATES",20mar2025,2986011,2775024.92,2775024.92,210986.08,"SKELETAL HEALTH AND BONE MARROW COMPOSITION AMONG YOUTH","N/A - Departmental Authority","-",0
"NIH","R01HD115921","1R01HD115921-01","Hospital / Medical Center / Health System","BOSTON CHILDREN'S HOSPITAL","BOSTON CHILDREN'S HOSPITAL","MASSACHUSETTS","UNITED STATES",21mar2025,800403,378920.04,378920.04,421482.96,"THE EFFECTS OF GENDER-AFFIRMING SEX STEROIDS ON BRAIN DEVELOPMENT IN ADOLESCENTS","N/A - Departmental Authority","-",0
"NIH","F32MD017452","5F32MD017452-03","Hospital / Medical Center / Health System","BOSTON CHILDREN'S HOSPITAL","BOSTON CHILDREN'S HOSPITAL","MASSACHUSETTS","UNITED STATES",21mar2025,228402,172283.29,172283.29,56118.71,"SEXUAL MINORITY MENTAL HEALTH DURING THE COVID-19 PANDEMIC: AN INTERSECTIONAL, SOCIAL EPIDEMIOLOGIC INVESTIGATION","N/A - Departmental Authority","-",0
"NIH","K99DC022343","1K99DC022343-01","Hospital / Medical Center / Health System","BOSTON CHILDREN'S HOSPITAL","BOSTON CHILDREN'S HOSPITAL","MASSACHUSETTS","UNITED STATES",15apr2025,132705,49853,49853,82852,"DEFINING THE ROLE OF MET COMPONENTS IN VESTIBULAR HAIR CELL MATURATION AND GENE THERAPY RESPONSIVENESS","N/A - Departmental Authority","-",0
"NIH","R01AI170835","3R01AI170835-03S1","Hospital / Medical Center / Health System","BOSTON CHILDREN'S HOSPITAL","BOSTON CHILDREN'S HOSPITAL","MASSACHUSETTS","UNITED STATES",18apr2025,2649719,2114991,2114991,534728,"GENOME-WIDE CRISPR-CAS9 SCREENS IN INSECT CELLS TO CHARACTERIZE INSECTICIDAL TOXINS","N/A - Departmental Authority","-",0
