awarding_office,fain,award_num,recipient_name,date_terminated,amt_obligated,amt_expended,total_payment_amt,amt_unliquidated,award_title,pres_action,for_cause
"SAMHSA","B09SM083981","1B09SM083981-01","MISSISSIPPI STATE
DEPARTMENT OF MENTAL HEALTH",24mar2025,7556583,5809952.79,5809952.79,1746630,"Mental Health Block Grant - COVID Relief","N/A - Departmental Authority","-"
"SAMHSA","B09SM085366","1B09SM085366-01","MISSOURI STATE DEPT OF
MENTAL HEALTH",24mar2025,24032991,24032991,24032991,,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085894","1B09SM085894-01","MISSOURI STATE DEPT OF
MENTAL HEALTH",24mar2025,827064,468470.5,468470.5,358594,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083951","1B08TI083951-01","MISSOURI STATE DEPT OF
MENTAL HEALTH",24mar2025,21490814,21490814,21490814,,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085367","1B09SM085367-01","MONTANA STATE DEPT/PUB
HLTH & HUMAN SRVS",24mar2025,4372007,2447122.26,2447122.26,1924885,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI084592","1B08TI084592-01","MONTANA STATE DEPT/PUB
HLTH & HUMAN SRVS",24mar2025,125000,6992.46,6992.46,118008,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085369","1B09SM085369-01","NEBRASKA ST DEPT OF HEALTH
& HUMAN SERVS",24mar2025,6555690,474550.01,474550.01,6081140,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085897","1B09SM085897-01","NEBRASKA ST DEPT OF HEALTH
& HUMAN SERVS",24mar2025,225605,10147.84,10147.84,215457,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083954","1B08TI083954-01","NEBRASKA ST DEPT OF HEALTH
& HUMAN SERVS",24mar2025,6185533,1342689.05,1342689.05,4842844,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI084594","1B08TI084594-01","NEBRASKA ST DEPT OF HEALTH
& HUMAN SERVS",24mar2025,221980,13819.21,13819.21,208161,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083508","1B08TI083508-01","NEBRASKA ST DEPT OF HEALTH
& HUMAN SERVS",24mar2025,7162196,2524616.39,2524616.39,4637580,"Mental Health Block Grant - COVID Relief","N/A - Departmental
Authority","-"
"SAMHSA","B09SM083985","1B09SM083985-01","NEBRASKA ST DEPT OF HEALTH
& HUMAN SERVS",24mar2025,3795400,1022841.6,1022841.6,2772558,"Mental Health Block Grant - COVID Relief","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085371","1B09SM085371-01","NH STATE DEPT/HLTH
STATISTICS/DATA MGMT",24mar2025,5031475,3145116.32,3145116.32,1886359,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083955","1B08TI083955-01","NH STATE DEPT/HLTH
STATISTICS/DATA MGMT",24mar2025,5640385,4198247.72,4198247.72,1442137,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083509","1B08TI083509-01","NH STATE DEPT/HLTH STATISTICS/DATA MGMT",24mar2025,6530972,5693811.58,5693811.58,837160,"Mental Health Block Grant - COVID Relief","N/A - Departmental Authority","-"
"SAMHSA","B09SM083987","1B09SM083987-01","NH STATE DEPT/HLTH
STATISTICS/DATA MGMT",24mar2025,2912959,2661061.33,2661061.33,251898,"Mental Health Block Grant - COVID Relief","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085376","1B09SM085376-01","NORTH DAKOTA STATE DEPARTMENT OF HUMAN
SERVICES",24mar2025,2478813,579935,579935,1898878,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B09SM085904","1B09SM085904-01","NORTH DAKOTA STATE DEPARTMENT OF HUMAN
SERVICES",24mar2025,125000,102,102,124898,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI083960","1B08TI083960-01","NORTH DAKOTA STATE
DEPARTMENT OF HUMAN SERVICES",24mar2025,5288864,1223537,1223537,4065327,"Subtance Use Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI084600","1B08TI084600-01","NORTH DAKOTA STATE DEPARTMENT OF HUMAN SERVICES",24mar2025,125000,-50,-50,125050,"Subtance Use Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B09SM083992","1B09SM083992-01","NORTH DAKOTA STATE
DEPARTMENT OF HUMAN SERVICES",24mar2025,1435102,1325019,1325019,110083,"Mental Health Block Grant - COVID Relief","N/A - Departmental Authority","-"
"SAMHSA","B09SM085390","1B09SM085390-01","OHIO STATE DEPARTMENT OF
MENTAL HEALTH AND ADDICTION SERVICES",24mar2025,44517241,19789086.4,19789086.4,24728155,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI083961","1B08TI083961-01","OHIO STATE DEPARTMENT OF MENTAL HEALTH AND
ADDICTION SERVICES",24mar2025,52241251,22169895.58,22169895.58,30071355,"Subtance Use Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B09SM085377","1B09SM085377-01","OKLAHOMA DEPT OF MENTAL
HLTH/SUBS ABUSE",24mar2025,15708052,12821515.35,12821515.35,2886537,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085905","1B09SM085905-01","OKLAHOMA DEPT OF MENTAL
HLTH/SUBS ABUSE",24mar2025,540572,,,540572,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI084602","1B08TI084602-01","OKLAHOMA DEPT OF MENTAL
HLTH/SUBS ABUSE",24mar2025,492847,,,492847,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM083993","1B09SM083993-01","OKLAHOMA DEPT OF MENTAL
HLTH/SUBS ABUSE",24mar2025,9094136,8442566.74,8442566.74,651569,"Mental Health Block Grant - COVID Relief","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085380","1B09SM085380-01","PUERTO RICO DEPARTMENT OF MENTAL HEALTH AND ANTI- ADDICTION SERVICES ADMIN",24mar2025,18182788,11494245.12,11494245.12,6688543,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B09SM085908","1B09SM085908-01","PUERTO RICO DEPARTMENT OF MENTAL HEALTH AND ANTI- ADDICTION SERVICES ADMIN",24mar2025,625737,164908.13,164908.13,460829,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI083976","1B08TI083976-01","PUERTO RICO DEPARTMENT OF MENTAL HEALTH AND ANTI- ADDICTION SERVICES ADMIN",24mar2025,18182788,9132290.779999999,9132290.779999999,9050497,"Subtance Use Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI084616","1B08TI084616-01","PUERTO RICO DEPARTMENT OF MENTAL HEALTH AND ANTI- ADDICTION SERVICES ADMIN",24mar2025,622008,136043.12,136043.12,485965,"Subtance Use Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI083518","1B08TI083518-01","PUERTO RICO DEPARTMENT OF MENTAL HEALTH AND ANTI- ADDICTION SERVICES ADMIN",24mar2025,21053755,20032964.02,20032964.02,1020791,"Mental Health Block Grant - COVID Relief","N/A - Departmental Authority","-"
"SAMHSA","B09SM083996","1B09SM083996-01","PUERTO RICO DEPARTMENT OF MENTAL HEALTH AND ANTI- ADDICTION SERVICES ADMIN",24mar2025,10526878,9727366.210000001,9727366.210000001,799512,"Mental Health Block Grant - COVID Relief","N/A - Departmental Authority","-"
"SAMHSA","B09SM085387","1B09SM085387-01","REP/MARSHALL ISLANDS-
MINISTRY OF HEALTH",24mar2025,417694,,,417694,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085915","1B09SM085915-01","REP/MARSHALL ISLANDS-
MINISTRY OF HEALTH",24mar2025,125000,,,125000,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM083955","1B09SM083955-01","REP/MARSHALL ISLANDS-
MINISTRY OF HEALTH",24mar2025,241823,,,241823,"Mental Health Block Grant - COVID Relief","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083983","1B08TI083983-01","REPUBLIC/MARSHALL IS
MINISTRY OF FINANCE",24mar2025,417694,,,417694,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI084584","1B08TI084584-01","REPUBLIC/MARSHALL IS
MINISTRY OF FINANCE",24mar2025,125000,,,125000,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083551","1B08TI083551-01","REPUBLIC/MARSHALL IS
MINISTRY OF FINANCE",24mar2025,483646,,,483646,"Mental Health Block Grant - COVID Relief","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083966","1B08TI083966-01","SOUTH CAROLINA STATE DEPARTMENT OF ALCOHOL AND OTHER DRUG ABUSE SERVICES",24mar2025,19199380,13927257.51,13927257.51,5272122,"Subtance Use Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI084606","1B08TI084606-01","SOUTH CAROLINA STATE DEPARTMENT OF ALCOHOL AND OTHER DRUG ABUSE
SERVICES",24mar2025,684099,196932.49,196932.49,487167,"Subtance Use Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B09SM085343","1B09SM085343-01","SOUTH CAROLINA STATE DEPT
OF MENTAL HLTH",24mar2025,21480779,15422894.05,15422894.05,6057885,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085871","1B09SM085871-01","SOUTH CAROLINA STATE DEPT
OF MENTAL HLTH",24mar2025,739233,292482.01,292482.01,446751,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM083947","1B09SM083947-01","SOUTH CAROLINA STATE DEPT
OF MENTAL HLTH",24mar2025,12436240,11688983.9,11688983.9,747256,"Mental Health Block Grant - COVID Relief","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085344","1B09SM085344-01","SOUTH DAKOTA STATE
DEPARTMENT OF SOCIAL SERVICES",24mar2025,3078898,2389686.86,2389686.86,689211,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI083967","1B08TI083967-01","SOUTH DAKOTA STATE
DEPARTMENT OF SOCIAL SERVICES",24mar2025,4890725,2766655.18,2766655.18,2124070,"Subtance Use Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B09SM085345","1B09SM085345-01","TENNESSEE STATE DEPARTMENT OF MENTAL HEALTH AND SUBSTANCE
ABUSE SERVICES",24mar2025,27280443,19226824.36,19226824.36,8053619,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B09SM085873","1B09SM085873-01","TENNESSEE STATE DEPARTMENT OF MENTAL HEALTH AND SUBSTANCE
ABUSE SERVICES",24mar2025,938820,710525.11,710525.11,228295,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI083968","1B08TI083968-01","TENNESSEE STATE DEPARTMENT OF MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES",24mar2025,25886179,9067066.25,9067066.25,16819113,"Subtance Use Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI084608","1B08TI084608-01","TENNESSEE STATE DEPARTMENT OF MENTAL HEALTH AND SUBSTANCE
ABUSE SERVICES",24mar2025,864280,,,864280,"Subtance Use Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B08TI083515","1B08TI083515-01","TENNESSEE STATE DEPARTMENT OF MENTAL HEALTH AND SUBSTANCE
ABUSE SERVICES",24mar2025,29973471,29356151.25,29356151.25,617320,"Mental Health Block Grant - COVID Relief","N/A - Departmental Authority","-"
"SAMHSA","B09SM085385","1B09SM085385-01","TEXAS HEALTH AND HUMAN SERVICES COMMISSION",24mar2025,128821616,71982045.90000001,71982045.90000001,56839570,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
"SAMHSA","B09SM085913","1B09SM085913-01","TEXAS HEALTH AND HUMAN
SERVICES COMMISSION",24mar2025,4433226,3820824.63,3820824.63,612401,"Mental Health Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI084609","1B08TI084609-01","TEXAS HEALTH AND HUMAN
SERVICES COMMISSION",24mar2025,4715901,4309868.51,4309868.51,406032,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B08TI083969","1B08TI083969-01","TEXAS STATE DEPT OF HEALTH
SERVICES",24mar2025,117140711,65570863.74,65570863.74,51569847,"Subtance Use Block Grant - ARP","N/A - Departmental
Authority","-"
"SAMHSA","B09SM085346","1B09SM085346-01","UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES",24mar2025,12884438,8905844.539999999,8905844.539999999,3978593,"Mental Health Block Grant - ARP","N/A - Departmental Authority","-"
